Rank,Name,Ticker,MarketCap,Stablecoin
43,Polkadot,DOTUSD,1985218006.4740365,False
44,Pump.fun,PUMPUSD,1927038879.6676476,False
45,PAX Gold,PAXGUSD,1897530664.5999177,False
46,World Liberty Financial,WLFIUSD,1851012762.8471355,False
47,Pepe,PEPEUSD,1663298421.5370662,False
48,Sky,SKYUSD,1643893710.3122623,False
49,Internet Computer,ICPUSD,1636159005.1702547,False
50,Worldcoin,WLDUSD,1602903535.57742,False
51,USDD,USDD,1538772299.8435946,True
52,Arbitrum,ARBUSD,1436263116.1591122,False
53,Bitget Token,BGBUSD,1410002774.4863813,False
54,United Stables,UUSD,1393169850.3264186,True
55,Morpho,MORPHOUSD,1393037289.670836,False
56,Ethereum Classic,ETCUSD,1362973632.7722836,False
57,Venice Token,VVVUSD,1356718752.1936944,False
58,Lighter,LITUSD,1192073406.6174572,False
59,Polygon (prev. MATIC),POLUSD,1138204953.1109908,False
60,GateToken,GTUSD,1105079669.9143438,False
61,Kaspa,KASUSD,1089624494.2730045,False
62,Algorand,ALGOUSD,1017356361.6054229,False
63,KuCoin Token,KCSUSD,982977321.1917698,False
64,Pi,PIUSD,961142142.1945344,False
65,JUST,JSTUSD,950086898.3317758,False
66,Cosmos,ATOMUSD,937544615.9082654,False
67,PancakeSwap,CAKEUSD,926723302.2983667,False
68,Jupiter,JUPUSD,917694742.9659126,False
69,Render,RENDERUSD,894976503.7197446,False
70,Filecoin,FILUSD,796582426.907552,False
71,Injective,INJUSD,795404869.3967443,False
72,Quant,QNTUSD,786934730.312221,False
73,VeChain,VETUSD,732331195.8237848,False
74,Dash,DASHUSD,724955558.7417583,False
75,ether.fi,ETHFIUSD,705706159.3675828,False
76,Aerodrome Finance,AEROUSD,662707949.8209081,False
77,Stable,STABLEUSD,652927389.6534166,False
78,Aptos,APTUSD,650769839.3312464,False
79,XDC Network,XDCUSD,603069048.1407746,False
80,Stacks,STXUSD,575365628.4971554,False
81,OFFICIAL TRUMP,TRUMPUSD,569022279.4110119,False
82,Flare,FLRUSD,568131190.1727768,False
83,Curve DAO Token,CRVUSD,545083688.0794005,False
84,Nexo,NEXOUSD,532026604.05805916,False
85,Pudgy Penguins,PENGUUSD,498814313.63856876,False
86,币安人生,币安人生USD,496050703.14688367,False
87,TrueUSD,TUSD,494362236.3347799,True
88,Pyth Network,PYTHUSD,478740693.57366884,False
89,Pieverse,PIEVERSEUSD,470722239.5014667,False
90,Pendle,PENDLEUSD,457162501.5969364,False
91,EURC,EURCUSD,453180158.95831513,True
92,Raydium,RAYUSD,449476684.5336528,False
93,Virtuals Protocol,VIRTUALUSD,443864185.2337196,False
94,SPX6900,SPXUSD,436459159.2224882,False
95,Falcon Finance,FFUSD,423961982.1788825,False
96,LayerZero,ZROUSD,418787418.5794986,False
97,Artificial Superintelligence Alliance,FETUSD,413961133.5132587,False
98,Midnight,NIGHTUSD,397936192.9066118,False
99,Pons,PONSUSD,397568706.47384924,False
100,Celestia,TIAUSD,386964353.23466104,False
101,Tezos,XTZUSD,383727779.0125076,False
102,Sei,SEIUSD,375642137.32095695,False
103,Starknet,STRKUSD,346298075.29958504,False
104,Lido DAO,LDOUSD,344714693.7727897,False
105,Bitcoin SV,BSVUSD,343078654.6371494,False
106,Sun [New],SUNUSD,330840752.39254135,False
107,BitTorrent [New],BTTUSD,328080501.7967681,False
108,First Digital USD,FDUSD,324588928.76973975,True
109,Gnosis,GNOUSD,311437722.09054524,False
110,Decred,DCRUSD,303693030.64200234,False
111,Terra Classic,LUNCUSD,303060500.40652233,False
112,Arweave,ARUSD,300003351.0736755,False
113,Optimism,OPUSD,291125938.11571646,False
114,Monad,MONUSD,287729808.24959356,False
115,Kite,KITEUSD,287556380.715555,False
116,Immutable,IMXUSD,282039034.09596103,False
117,Conflux,CFXUSD,274029912.8825904,False
118,Ethereum Name Service,ENSUSD,273026576.6710421,False
119,Bonk,BONKUSD,267087299.68550402,False
120,Maple Finance,SYRUPUSD,260891432.90934682,False
121,Jito,JTOUSD,260396915.02456504,False
122,Plasma,XPLUSD,254059399.05068356,False
123,Useless Coin,USELESSUSD,249621479.35502318,False
124,FLOKI,FLOKIUSD,246764308.5573701,False
125,Trust Wallet Token,TWTUSD,245394612.5973443,False
126,AINFT,NFTUSD,238371464.90474615,False
127,The Graph,GRTUSD,235271196.17230207,False
128,IOTA,IOTAUSD,228142096.97812688,False
129,EigenCloud,EIGENUSD,218833943.83550692,False
130,Theta Network,THETAUSD,217435244.97065708,False
131,Compound,COMPUSD,213571552.79024607,False
132,Zama,ZAMAUSD,213474756.41378942,False
133,dogwifhat,WIFUSD,205667854.7550568,False
134,BUILDon,BUSD,204984691.08903435,False
135,JasmyCoin,JASMYUSD,202227687.01245856,False
136,Convex Finance,CVXUSD,197858356.63467208,False
137,edgeX,EDGEUSD,196098258.2423208,False
138,Zebec Network,ZBCNUSD,194325030.83097064,False
139,Kaia,KAIAUSD,193545142.50642633,False
140,THORChain,RUNEUSD,185245566.02476335,False
141,Axie Infinity,AXSUSD,176560405.70019668,False
142,DoubleZero,2ZUSD,175240600.56273323,False
143,Cash Cat,CASHCATUSD,175029726.68537572,False
144,Kamino,KMNOUSD,172836030.5913147,False
145,Neo,NEOUSD,170235219.29348305,False
146,MX Token,MXUSD,169772733.78569815,False
147,Fartcoin,FARTCOINUSD,169834181.0509887,False
148,Akash Network,AKTUSD,167737198.0330687,False
149,OriginTrail,TRACUSD,165070811.41508192,False
150,Decentraland,MANAUSD,164855750.4267897,False
151,Onyxcoin,XCNUSD,164485436.761425,False
152,eCash,XECUSD,159227454.0378535,False
153,Chiliz,CHZUSD,158552254.7654974,False
154,Vision,VSNUSD,156826048.19534162,False
155,DeXe,DEXEUSD,155589736.38208023,False
156,Vaulta,AUSD,147687224.24269268,False
157,Telcoin,TELUSD,147761992.12156424,False
158,GoМining,GOMININGUSD,145985874.7605447,False
159,SafePal,SFPUSD,144460918.21149,False
160,Horizen,ZENUSD,141350281.60755396,False
161,Mina,MINAUSD,141163370.88698876,False
162,Humanity,HUSD,140759496.33510697,False
163,1inch,1INCHUSD,139653335.52497914,False
164,ApeCoin,APEUSD,138076699.2949441,False
165,Meteora,METUSD,136741418.53872332,False
166,Sentient,SENTUSD,131456034.5034582,False
167,ZKsync,ZKUSD,121703887.00276768,False
168,AWE,AWEUSD,121081322.92453922,False
169,Basic Attention Token,BATUSD,120045315.15702778,False
170,Golem,GLMUSD,119092083.45777658,False
171,The Sandbox,SANDUSD,119121071.4841549,False
172,Genius Terminal,GENIUSUSD,118824860.05362774,False
173,AIOZ Network,AIOZUSD,116165027.43668965,False
174,Lisk,LSKUSD,115943234.660769,False
175,MultiversX,EGLDUSD,114122034.56114073,False
176,Dog (Bitcoin),DOGUSD,113176570.89242177,False
177,GEODNET,GEODUSD,112954378.85950659,False
178,SOON,SOONUSD,112809416.44522789,False
179,Aethir,ATHUSD,111740023.97239907,False
180,dYdX,DYDXUSD,110006494.9647291,False
181,Fluid,FLUIDUSD,108715634.94556446,False
182,Sonic,SUSD,105582194.96144435,False
183,Official Melania Meme,MELANIAUSD,102916331.8930206,False
184,Reserve Rights,RSRUSD,103094453.89408061,False
185,Qtum,QTUMUSD,101445403.80603798,False
186,DeepBook Protocol,DEEPUSD,100932231.65284471,False
187,Four,FORMUSD,97801812.35198398,False
188,Cheems (cheems.pet),CHEEMSUSD,97607475.5730162,False
189,0x Protocol,ZRXUSD,97590887.01351452,False
190,Seeker,SKRUSD,97289259.75620405,False
191,Gala,GALAUSD,97213794.3845866,False
192,ORDI,ORDIUSD,96949099.56851204,False
193,WEMIX,WEMIXUSD,96789794.24989459,False
194,MarsCoin,MARSCOINUSD,94757055.97466354,False
195,Beam,BEAMUSD,94446416.13838714,False
196,Prom,PROMUSD,91380610.33468933,False
197,Tagger,TAGUSD,90136062.06700553,False
198,CoW Protocol,COWUSD,88874296.40669101,False
199,Grass,GRASSUSD,88005416.33554573,False
200,Plume,PLUMEUSD,87958612.48796186,False
201,Rain,RAINUSD,9660907689.578648,False
202,Decimal,DELUSD,5315605287.577243,False
203,Ondo US Dollar Yield,USDY,2250999123.3176274,True
204,Bitway,BTWUSD,2028337376.7281847,False
205,HTX,HTXUSD,1544926735.2399902,False
206,USDGO,USDGO,1383927072.9374442,True
207,AKEDO,AKEUSD,1266696824.377329,False
208,Falcon USD,USDf,1207145452.27479,True
209,c8ntinuum,CTMUSD,1089625620.0688066,False
210,Jupiter Perps LP,JLPUSD,900052166.0425671,False
211,GHO,GHOUSD,698397481.2552913,True
212,Beldex,BDXUSD,599085355.2535465,False
213,Usual USD,USD0,549373915.6015934,True
214,USDai,USDAI,501391065.25404024,True
215,Bedrock,BRUSD,377364332.9318601,False
216,Unibase,UBUSD,327053723.44934183,False
217,Derive,DRVUSD,284637570.4302737,False
218,Artificial Inu,AIUSD,269843148.36586255,False
219,STONK (stonkfun.xyz),STONKUSD,257178995.1725503,False
220,Ape and Pepe,APEPEUSD,256014412.56825244,False
221,龙虾 (Lobster),龙虾USD,237478649.37986487,False
222,AUSD,AUSD,234358815.71473518,True
223,48 Club Token,KOGEUSD,234020666.67453527,False
224,Solstice USX,USXUSD,232709501.3253793,False
225,Legacy Frax Dollar,FRAXUSD,218076045.2230683,True
226,Ribbita by Virtuals,TIBBIRUSD,215656019.37557098,False
227,EUR CoinVertible,EURCVUSD,192794089.18886608,True
228,Backpack,BPUSD,190470003.75861803,False
229,USAT,USATUSD,184169539.5235609,True
230,Non-Playable Coin,NPCUSD,178773015.30235928,False
231,WeFi,WFIUSD,172784210.51720598,False
232,SwissBorg,BORGUSD,172274083.7460697,False
233,AntFun,ANTFUNUSD,151191033.74353027,False
234,Shuffle,SHFLUSD,150120217.47286296,False
235,GUSD,GUSD,149291223.28162575,True
236,Joseon Mun,JSMUSD,146514245.96771336,False
237,Strategy PP Variable tokenized stock (xStock),STRCXUSD,145212769.84568572,False
238,DGrid AI,DGAIUSD,143289493.95899725,False
239,Ailey,ALEUSD,140028227.22322312,False
240,Zano,ZANOUSD,128658758.87191512,False
241,Rollbit Coin,RLBUSD,126638370.1908659,False
242,Circle Internet Group Tokenized bStocks,CRCLBUSD,117715129.12171704,False
243,Quack AI,QUSD,114991590.69483751,False
244,ViciCoin,VCNTUSD,114444980.86149637,False
245,Circle Internet Group Tokenized Stock (Ondo),CRCLonUSD,108967078.32318273,False
246,Catecoin (cate.meme),CATEUSD,107665380.60488306,False
247,Bulla,BULLAUSD,108340435.90591982,False
248,Anonymous Cat,ZCATUSD,104162514.37867482,False
249,Frax USD,FRXUSD,103365513.11700635,True
250,UnifAI Network,UAIUSD,100441944.30293857,False
251,牛来 (Niu Lai),牛来USD,100021066.29700857,False
252,SoSoValue,SOSOUSD,99431431.0655198,False
253,MicroStrategy tokenized stock (xStock),MSTRXUSD,91010943.58508411,False
254,Nockchain,NOCKUSD,89100346.87881564,False
255,Kinetiq,KNTQUSD,88467947.98845027,False
256,AIVIVE,AVVUSD,87839536.10361494,False
257,YZY MONEY,YZYUSD,87335696.45828517,False
258,Orca,ORCAUSD,87301021.45769662,False
259,SuperVerse,SUPERUSD,87324790.4107648,False
260,Gas,GASUSD,87220243.78052743,False
261,o1.exchange,OUSD,86051290.50830637,False
262,Rootstock Infrastructure Framework,RIFUSD,85709222.05269572,False
263,Helium,HNTUSD,85392040.41598313,False
264,lium,SN51USD,85150633.5425255,False
265,U.S. Dollar Tokenized Currency (Ondo),USDon,84758879.8094413,False
266,USD.AI,CHIPUSD,84481175.92182384,False
267,peaq,PEAQUSD,84175994.93152341,False
268,Kusama,KSMUSD,83679808.55344379,False
269,FTX Token,FTTUSD,83016984.8256338,False
270,Walrus,WALUSD,82985364.39130177,False
271,Circle tokenized stock (xStock),CRCLXUSD,80872936.09226577,False
272,Huma Finance,HUMAUSD,80711558.32379483,False
273,GMX,GMXUSD,80628788.8582677,False
274,KAITO,KAITOUSD,80602558.67968343,False
275,DigiByte,DGBUSD,80312809.84935705,False
276,Velo,VELOUSD,80152237.34374364,False
277,Solstice eUSX,EUSXUSD,79820950.4750568,False
278,Yearn,YFIUSD,79788005.05481642,False
279,SuperTrust,SUTUSD,79378719.29656002,False
280,Livepeer,LPTUSD,79102800.87755269,False
281,RedStone,REDUSD,78567834.36220649,False
282,Synthetix,SNXUSD,78555181.56035133,False
283,Safe,SAFEUSD,78474745.64912646,False
284,Law Blocks (AI),LBTUSD,78378242.10929616,False
285,Centrifuge,CFGUSD,78237016.87292346,False
286,Kava,KAVAUSD,78108387.98627019,False
287,Theta Fuel,TFUELUSD,76959436.1017831,False
288,Diem,DIEMUSD,76427138.35842599,False
289,Gravity,GUSD,75514705.63378385,False
290,Banana For Scale,BANANAS31USD,75301729.13631693,False
291,PumpMeme,PMUSD,75464212.76269569,False
292,XPR Network,XPRUSD,75007045.64003684,False
293,USDsui,USDsui,74598744.52268633,True
294,lisUSD,lisUSD,74025107.50034694,True
295,ONEchain,ONEUSD,73975141.29372753,False
296,Re,REUSD,73297936.42165048,False
297,Purr,PURRUSD,73170466.94572254,False
298,ZIGChain,ZIGUSD,72748681.74160515,False
299,FUNToken,FUNUSD,72232804.96644118,False
300,Wormhole,WUSD,72213725.15576516,False
301,Berachain,BERAUSD,72113186.3866468,False
302,SpaceX Pre-IPO stock (Republic),preSPCXUSD,71882684.44433124,False
303,Zilliqa,ZILUSD,71579173.33296233,False
304,SushiSwap,SUSHIUSD,71500297.48318109,False
305,AI Rig Complex,ARCUSD,71316386.06520635,False
306,Holo,HOTUSD,71382235.37234344,False
307,Collector Crypt,CARDSUSD,70572493.7980971,False
308,Baby Doge Coin,BabyDogeUSD,70228526.86074938,False
309,Cap,CAPUSD,70133819.18134312,False
310,Tesla tokenized stock (xStock),TSLAXUSD,69925374.0832533,False
311,Data Network,DATAUSD,69903523.338027,False
312,Numeraire,NMRUSD,69139516.84621301,False
313,iShares Core S&P 500 Tokenized ETF (Ondo),IVVonUSD,69088389.01558861,False
314,NEXPACE,NXPCUSD,68740678.11478056,False
315,Bio Protocol,BIOUSD,68527261.99204665,False
316,SpaceX Tokenized bStocks,SPCXBUSD,68591268.68528172,False
317,VeThor Token,VTHOUSD,68512983.12510398,False
318,Pharos,PROSUSD,67987942.80323222,False
319,Turbo,TURBOUSD,67438516.18134873,False
320,MindWaveDAO,NILAUSD,66117287.3276894,False
321,Comedian,BANUSD,65951881.91828441,False
322,SP500 tokenized ETF (xStock),SPYXUSD,65021051.14556821,False
323,Targon,SN4USD,64294881.83509399,False
324,Spark,SPKUSD,64255832.86432803,False
325,BOOK OF MEME,BOMEUSD,64050526.67520609,False
326,Nexus,NEXUSD,63172961.009777285,False
327,Fidelity Digital Dollar,FIDDUSD,62586182.43017769,True
328,Linea,LINEAUSD,62135563.08891481,False
329,GoPlus Security,GPSUSD,62029858.177323185,False
330,ZetaChain,ZETAUSD,61954385.93196841,False
331,The Black Bull,ANSEMUSD,61375893.947311305,False
332,BAS,BASUSD,60756142.36084862,False
333,Stronghold SHx,SHXUSD,60628626.18492074,False
334,Alchemy Pay,ACHUSD,60433275.906336226,False
335,Oasis,ROSEUSD,60438835.53357333,False
336,Pirate Chain,ARRRUSD,60162480.49414731,False
337,Venus BUSD,vBUSD,60125939.94126437,True
338,Nervos Network,CKBUSD,59652252.179158196,False
339,ChainOpera AI,COAIUSD,59325157.568168215,False
340,Axelar,AXLUSD,59203338.19956997,False
341,Strategy Tokenized bStocks,MSTRBUSD,59129458.18338205,False
342,Astar,ASTRUSD,58584550.26521869,False
343,AB,ABUSD,58226359.660374746,False
344,Creditcoin,CTCUSD,58094319.23569791,False
345,ECOMI,OMIUSD,57478640.31603236,False
346,Somnia,SOMIUSD,57087444.31761299,False
347,io.net,IOUSD,56797133.93342305,False
348,Invesco QQQ Trust Tokenized bStocks,QQQBUSD,55944006.36419463,False
349,Threshold,TUSD,55904760.866378315,False
350,TronBank,TBKUSD,55728148.30883912,False
351,Jelly-My-Jelly,JELLYJELLYUSD,55488294.826165535,False
352,Harmony,ONEUSD,55457569.50318014,False
353,StandX DUSD,DUSD,55003842.85169846,True
354,Ontology,ONTUSD,54569112.95077009,False
355,AI Analysis Token,AIATUSD,54503623.0658301,False
356,Enjin Coin,ENJUSD,54384936.3538616,False
357,Brett (Based),BRETTUSD,54320407.45231112,False
358,COTI,COTIUSD,54169432.099563055,False
359,Celo,CELOUSD,54090274.06212289,False
360,Blur,BLURUSD,53962549.12724081,False
361,Babylon,BABYUSD,53888477.58516882,False
362,Alaya Governance Token,AGTUSD,53643067.96896614,False
363,Peanut the Squirrel,PNUTUSD,53564360.21675119,False
364,Polymesh,POLYXUSD,53048301.04931744,False
365,Atoshi,ATOSUSD,52485679.24351715,False
366,RaveDAO,RAVEUSD,52440261.29637053,False
367,Keeta,KTAUSD,52117073.423279196,False
368,aelf,ELFUSD,52073236.058668435,False
369,Venus,XVSUSD,51971829.260409735,False
370,SPACE ID,IDUSD,51789921.52452117,False
371,BIM,BIMUSD,51593342.359976836,False
372,TROLL (SOL),TROLLUSD,51085323.12287881,False
373,Siacoin,SCUSD,51128973.700746775,False
374,Synapse,SYNUSD,51081452.025649145,False
375,Altlayer,ALTUSD,50982268.692562565,False
376,Qubic,QUBICUSD,50933038.81875482,False
377,Verge,XVGUSD,50914601.68718335,False
378,Flow,FLOWUSD,50542234.602023885,False
379,Tellor,TRBUSD,50502700.61181812,False
380,Allora,ALLOUSD,50377908.488175906,False
381,ssv.network,SSVUSD,50043143.86115164,False
382,Toshi,TOSHIUSD,49262394.10196579,False
383,SKYAI,SKYAIUSD,49095128.28511112,False
384,Espresso,ESPUSD,48375761.4248693,False
385,XYO,XYOUSD,48353301.14771533,False
386,Holoworld AI,HOLOUSD,48217397.58411503,False
387,Popcat (SOL),POPCATUSD,48201533.29578126,False
388,Ankr,ANKRUSD,48139167.16766012,False
389,Notcoin,NOTUSD,48066529.723966,False
390,Matrixdock Gold,XAUMUSD,47944944.88530886,False
391,0G,0GUSD,47797674.17731813,False
392,Boner Coin,BONERUSD,47580449.29170947,False
393,Lombard,BARDUSD,47446191.06953304,False
394,Aztec,AZTECUSD,46946674.18394182,False
395,MegaETH,MEGAUSD,46841009.12471482,False
396,Mask Network,MASKUSD,46811331.574562855,False
397,Acurast,ACUUSD,46777786.37551903,False
398,Loaded Lions,LIONUSD,46586369.61218445,False
399,StorX Network,SRXUSD,46009754.40729758,False
400,Vitalum,VAMUSD,45995898.05061804,False
401,Nesa,NESUSD,45990973.15735861,False
402,OpenLedger,OPENUSD,45676603.21473725,False
403,Railgun,RAILUSD,45580262.20217745,False
404,Micron Technology Tokenized bStocks,MUBUSD,45571648.080580674,False
405,Ronin,RONUSD,45445363.9333238,False
406,SPDR S&P 500 Tokenized ETF (Ondo),SPYonUSD,45211609.529111534,False
407,River,RIVERUSD,44961914.69607703,False
408,ConstitutionDAO,PEOPLEUSD,44911114.9947022,False
409,EscoinToken,ELGUSD,44781832.80001953,False
410,Casper,CSPRUSD,44633513.25556205,False
411,Unitas,UPUSD,44489468.740685806,False
412,Succinct,PROVEUSD,44570636.79757524,False
413,Nano,XNOUSD,44541080.66311889,False
414,Moo Deng (moodengsol.com),MOODENGUSD,44319131.30078425,False
415,Request,REQUSD,43818042.91205937,False
416,Capricorn,APRUSD,43154876.63480633,False
417,Magma Finance,MAGMAUSD,42965723.014506854,False
418,Frankencoin,ZCHFUSD,42961554.746135436,False
419,Bifrost,BFCUSD,42949552.09878582,False
420,Chump Coin,CHUMPUSD,42185092.12193468,False
421,REAL,ASSETUSD,42403985.950931765,False
422,VVS Finance,VVSUSD,42040580.259329006,False
423,DAPPOS,DOSUSD,41985831.588478856,False
424,SentismAI,SENTISUSD,41849025.49536901,False
425,Terra,LUNAUSD,41615856.35203867,False
426,Rocket Pool,RPLUSD,41724438.619721144,False
427,Mog Coin,MOGUSD,41651314.43698366,False
428,KUB Coin,KUBUSD,41577221.73512752,False
429,Amp,AMPUSD,41374168.44249024,False
430,StraitsX USD,XUSD,41143607.36298008,True
431,Concordium,CCDUSD,41059349.02923446,False
432,Paycoin,PCIUSD,41099772.29025829,False
433,SpaceX tokenized stock (xStock),SPCXxUSD,41028940.88996139,False
434,NVIDIA tokenized stock (xStock),NVDAXUSD,40997759.168920666,False
435,Ontology Gas,ONGUSD,40829529.27721505,False
436,Aegis YUSD,YUSD,40651101.43675848,True
437,Open Campus,EDUUSD,40563508.240384445,False
438,Magic Eden,MEUSD,40459208.16264961,False
439,Moca Network,MOCAUSD,40409563.93409717,False
440,Micron Technology Tokenized Stock (Ondo),MUonUSD,40063124.806599885,False
441,Arcium,ARXUSD,39988914.25694331,False
442,Movement,MOVEUSD,39960143.95064083,False
443,Xphere,XPUSD,39728839.83966746,False
444,Irys,IRYSUSD,39586915.57750673,False
445,Score,SN44USD,39290078.206799686,False
446,Gemini Dollar,GUSD,39264936.88862664,True
447,Veranta,AVNTUSD,39097557.17880392,False
448,WINkLink,WINUSD,38799464.23930592,False
449,ETHGas,GWEIUSD,38538479.52848695,False
450,Teller,DEBITUSD,38386070.44901076,False
451,Lista DAO,LISTAUSD,38242955.913159564,False
452,Eurite,EURIUSD,38079967.47298591,True
453,Neiro,NEIROUSD,37991192.676623695,False
454,Status,SNTUSD,37987636.93659987,False
455,Dusk,DUSKUSD,37630620.476290695,False
456,cat in a dogs world,MEWUSD,37594839.695405975,False
457,Ravencoin,RVNUSD,37558669.44104277,False
458,Band,BANDUSD,37321081.57784242,False
459,XPIN Network,XPINUSD,37208753.94971888,False
460,Wiki Cat,WKCUSD,37175029.62512297,False
461,NVIDIA Tokenized Stock (Ondo),NVDAonUSD,37052133.67708875,False
462,Nasdaq tokenized ETF (xStock),QQQXUSD,36997803.89174215,False
463,Waves,WAVESUSD,36989033.18878306,False
464,GOHOME,GOHOMEUSD,36896264.88929748,False
465,Memecoin,MEMEUSD,36779420.497534916,False
466,Fractal Bitcoin,FBUSD,36754079.746067375,False
467,ZORA,ZORAUSD,36488016.59593114,False
468,APRO,ATUSD,36428829.361448936,False
469,Catizen,CATIUSD,36421292.31462347,False
470,LAB,LABUSD,36392493.4188634,False
471,Giggle Fund,GIGGLEUSD,36258376.549091466,False
472,Merlin Chain,MERLUSD,36144844.11968127,False
473,Liquity BOLD,BOLDUSD,36122461.16080362,False
474,Mango,MNGOUSD,36103089.45562723,False
475,ChangeNOW Token,NOWUSD,36032941.40578533,False
476,Snek,SNEKUSD,35923930.02258859,False
477,Ampleforth,AMPLUSD,35800287.19616948,True
478,Celo Dollar,CUSD,35545748.568450056,True
479,BitDCA,BDCAUSD,35523917.90226493,False
480,UMA,UMAUSD,35487764.088416226,False
481,ApeX Protocol,APEXUSD,35268200.85313541,False
482,AO,AOUSD,35265210.85854811,False
483,Alphabet tokenized stock (xStock),GOOGLXUSD,35138023.58379024,False
484,KGeN,KGENUSD,35115447.3478282,False
485,Powerledger,POWRUSD,34981652.00915615,False
486,Solayer,LAYERUSD,34917348.403949596,False
487,Propy,PROUSD,34893804.75491492,False
488,τemplar,SN3USD,34839193.882392,False
489,Chainbase,CUSD,34707223.87316543,False
490,would,WOULDUSD,34535018.64644992,False
491,Talus,USUSD,34500903.876573674,False
492,BUSD,BUSD,34425596.49251699,True
493,Mixue Tokenized Stock (xStock),MIXUxUSD,34333655.89420145,False
494,Locus Chain,LOCUSUSD,34273251.6338634,False
495,MultiBank Group,MBGUSD,34009547.861302145,False
496,TokenPocket,TPTUSD,33979746.38720061,False
497,哈基米,哈基米USD,33931273.73536311,False
498,HashKey Platform Token,HSKUSD,33854506.48348882,False
499,Hunter Biden's Laptop,LAPTOPUSD,33635764.768030226,False
500,SMART,SMARTUSD,33662353.999149345,False
501,Momentum,MMTUSD,33634334.11603939,False
502,Manta Network,MANTAUSD,33406238.889698394,False
503,Billions Network,BILLUSD,33210725.222962428,False
504,Alchemist AI,ALCHUSD,33114997.92703985,False
505,Euler,EULUSD,33078242.239628047,False
506,Tornado Cash,TORNUSD,33072771.09458893,False
507,Bancor,BNTUSD,33035619.695487767,False
508,UNIPOLY,UNPUSD,32988396.42775371,False
509,Ore,OREUSD,32967455.03323825,False
510,TerraClassicUSD,USTCUSD,32852175.983973466,False
511,Sahara AI,SAHARAUSD,32745178.643421307,False
512,Dogelon Mars,ELONUSD,32592170.62929482,False
513,Vana,VANAUSD,32590536.94837486,False
514,FLock.io,FLOCKUSD,32582655.705411825,False
515,Invesco QQQ Tokenized ETF (Ondo),QQQonUSD,32390449.89141295,False
516,Mubarak,MUBARAKUSD,32375410.212928176,False
517,BSquared Network,B2USD,32255315.07211269,False
518,Zerebro,ZEREBROUSD,32167108.418925293,False
519,Renzo,REZUSD,32154754.90658092,False
520,Steem,STEEMUSD,32014899.902505215,False
521,Vanta Network,VANTAUSD,31849715.859629355,False
522,Across Protocol,ACXUSD,31673159.428110123,False
523,Core,COREUSD,31618544.01637219,False
524,Subsquid,SQDUSD,31535828.957575392,False
525,IoTeX,IOTXUSD,31452904.591325644,False
526,Hive,HIVEUSD,31402792.407532237,False
527,IOST,IOSTUSD,31153368.068304077,False
528,NVIDIA Tokenized bStocks,NVDABUSD,30873413.687809628,False
529,LUSD,LUSD,30768008.97534239,True
530,Rekt (rekt.com),REKTUSD,30625339.48977711,False
531,Orbs,ORBSUSD,30579767.232069947,False
532,deBridge,DBRUSD,30561441.10634479,False
533,Kyber Network Crystal v2,KNCUSD,30397721.633722585,False
534,Phala Network,PHAUSD,30314305.90057529,False
535,Ark,ARKUSD,30243921.765472885,False
536,MYX Finance,MYXUSD,30276033.8798302,False
